Super Simplified,
Skincare,
Choosing the right skin products can be confusing. Make it simple with MD.,
SHOP,&#x865B;
SHOP NOW,
WATCH VIDEO,
Hair,
Lash Factor, 
Skin,
Wellness,
"My family and I have also struggled with lash, hair and wellness issues; that is why I created MD ",
Dr. Susan Lin,
FOUNDER &amp; CREATOR OF MD HAIR,
VIEW PRODUCT,
FREE SHIPPING,
(US ONLY),
USE CODE: FREESHIP,
how to look and,
feel more beautiful,
WATCH NOW,
As seen in,
TRY OUR,
Best Selling,
BEAUTY PRODUCT: LASH FACTOR!,
DISCOVER,
TRY NOW,
SLIDE TO SEE BEFORE AND AFTER EFFECT,
FEATURED,
favorites,
MD Revitalizing Shampoo,
and Conditioner Bundle,
MD Beauty,
Essentials Bundle,
MD Nutri Hair,
Ultimate Program,
NEW MD Lash Factor,
Eyelash Conditioner,
Get social,
@MDfactor,
"Fuller, thicker,",
younger-looking hair,
"Gorgeous,",
lashes,
"Lift, Firm &amp;",
Illuminate,
Super Simplified Skincare,
Choosing the right skin products can be confusing. Make it simple with MD.,
be the first to know,
Receive the latest updates and deals from us!,
Email,
Name,
SUBSCRIBE,
10% OFF,
ONLINE EXCLUSIVE,
OFFER VALID TILL 10 ARPIL 2016,
Subscribe,
CONNECT,
with us,
CUSTOMER SERVICE,
ABOUT MD,
MY ACCOUNT,
Shipping Policies,
Return Policy,
Authenticity,
Contact Us,
Privacy Policy,
Terms and Conditions,
Wholesale,
Careers,
About MD® / ?MD®,
In The Press,
FAQs,
My Account,
Wishlist,
Order Status,
View Cart,
All prices are in USD,
2016 MD Factor.,
SIGN IN,
GIFT CERTIFICATES,
FREE US SHIPPING ,
USE CODE: FREESHIPPING,
Proceed to Checkout,
Shopping Cart,
Product,
Price,
Qty,
Subtotal,
SKU:,
Edit,
Empty Cart,
Update Shopping Cart,
-or-,
Continue Shopping,
Discount Codes,
Apply,
Estimate Shipping and Tax,
Country,
State/Province,
Zip,
Estimate,
Grand Total,
Checkout with Multiple Addresses,
Search Products,
Browse By,
Category,
Home,
Sort By,
Position,
QUANTITY:,
BUY NOW ,
How about these?,
Checkout,
Checkout Method,
Checkout as a Guest or Register ,
Register with us for future convenience:,
Checkout as Guest,
Register and Checkout,
Continue,
Returning Customers,
Sign in to speed up your checkout process,
Email Address,
* Required Fields,
Password,
Forgot your password?,
Login,
Your Checkout Progress,
Shipping Address,
Shipping Method,
Payment Method,
Checkout,
Checkout Method,
Billing Information,
First Name,
Middle Name/Initial,
Last Name,
Company,
Email Address,
Address,
Street Address 2,
City,
State/Province,
Zip/Postal Code,
Country,
Telephone,
Fax,
Ship to this address,
Ship to different address,
Continue,
Move to wishlist,
Order Review,
Back,
Loading next step...,
Shipping & Handling,
Place Order,
Forgot an Item?,
Edit Your Cart,
Submitting order information...,
Billing Address,
Shipping Address,
Shipping Method,
Payment Method,
Your order has been received.,
Thank you for your purchase!,
Your order # is: ,
You will receive an order confirmation email with details of your order and a link to track its progress.,
Click ,
here to print,
a copy of your order confirmation.,
My Dashboard,
"Hello, %s!",
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,
Recent Orders,
View All,
Order #,
Date,
Ship To,
Order Total,
Status,
Pending,
Account Information,
Contact Information,
Newsletters,
Change Password,
You are currently not subscribed to any newsletter.,
Address Book,
Manage Addresses,
Default Billing Address,
Edit Address,
Default Shipping Address,
You are now logged out,
You have logged out and will be redirected to our homepage in 5 seconds.,
CREATE A NEW ACCOUNT,
Create an account with us and you?ڬl be able to:,
Check out faster,
Save multiple shipping addresses,
Access your order history,
Track new orders,
Save items to your wish list,
Account Dashboard,
My Orders,
Billing Agreements,
Recurring Profiles,
My Product Reviews,
My Tags,
My Wishlist,
My Applications,
Newsletter Subscriptions,
My Downloadable Products,
Last Ordered Items,
Add to Cart,
Edit Account Information,
Save,
