"Web4pro Emails","Web4pro Emails"
"Web4pro Abandoned Cart","Web4pro Abandoned Cart"
"Orders from Abandoned Carts","Orders from Abandoned Carts"
"Emails Sent from Abandoned Cart","Emails Sent from Abandoned Cart"
"Sent At","Sent At"
"Mail Type","Mail Type"
"Coupon #","Coupon #"
"Coupon type","Coupon type"
"Coupon amount","Coupon amount"
"Order #","Order #"
"Purchased From","Purchased From"
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Status","Status"
"Store","Store"
"Sent At","Sent At"
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Your abandoned cart token is not valid or incorrect","Your abandoned cart token is not valid or incorrect"
"General","General"
"Please, login to complete your order","Please, login to complete your order"
"Abandoned","Abandoned"
"Last 24 Hours","Last 24 Hours"
"Last 7 Days","Last 7 Days"
"Last 30 Days","Last 30 Days"
"Last 60 Days","Last 60 Days"
"Last 90 Days","Last 90 Days"
"Lifetime","Lifetime"
"My Abandoned Carts","My Abandoned Carts"
"Log activated","Log activated"
"First date","First date"
"Carts will be ignored before this date!","Carts will be ignored before this date!"
"Sender","Sender"
"Redirect page","Redirect page"
"Url to redirect the customer", "Url to redirect the customer"
"Max number of email to send","Max number of email to send"
"Number of emails to be send","Number of emails to be send"
"First Email Subject","First Email Subject"
"The subject for the first email abandoned cart","The subject for the first email abandoned cart"
"First Email Template","First Email Template"
"Send email after","Send email after"
"This value depends of the next unit parameter","This value depends of the next unit parameter"
"Unit","Unit"
"Enter the unit for considering in the first email","Enter the unit for considering in the first email"
"Second Email Subject","Second Email Subject"
"The subject for the second email abandoned cart","The subject for the second email abandoned cart"
"This value is the days and is set since the moment cart was abandoned.","This value is the days and is set since the moment cart was abandoned."
"The subject for the third email abandoned cart","The subject for the third email abandoned cart"
"Choose customer group","Choose customer group"
"The client will be autologed when click on link in email he receive","The client will be autologed when click on link in email he receive"
"What email number to be set with?","What email number to be set with?"
"The code of an existing coupon","The code of an existing coupon"
"The coupon expiration in days","The coupon expiration in days"
"The coupon length","The coupon length"
"Select percentage or fixed discount","Select percentage or fixed discount"
"Set discount amount","Set discount amount"
"Set coupon label","Set coupon label"

